frame,decode_ms,render_ms,total_ms
642,0.378854,5.65536,6.03422
643,0.289115,5.52609,5.81521
644,0.433073,5.74844,6.18151
645,0.359896,3.12344,3.48333
646,0.260312,5.39828,5.65859
647,0.361875,5.94187,6.30375
648,0.358645,5.57583,5.93448
649,0.397291,5.78865,6.18594
650,0.36974,3.16432,3.53406
651,0.844115,5.12234,5.96646
652,0.506979,5.73026,6.23724
653,0.370416,5.50281,5.87323
654,0.403802,6.0675,6.4713
655,0.390937,3.31359,3.70453
656,0.326197,5.54964,5.87583
657,0.38177,5.64219,6.02396
658,0.302083,5.58604,5.88812
659,0.497291,5.52776,6.02505
660,0.323281,3.25339,3.57667
661,0.262031,5.57802,5.84005
662,0.600052,5.75167,6.35172
663,0.306771,5.4125,5.71927
664,0.370104,5.94245,6.31255
665,0.309636,3.26234,3.57198
666,0.287448,5.58146,5.86891
667,0.418334,5.91458,6.33292
668,0.30901,5.60677,5.91578
669,0.50651,5.96719,6.4737
670,0.324011,4.5813,4.90531
671,0.313333,4.61688,4.93021
672,0.342656,5.67057,6.01323
673,0.318386,5.72588,6.04427
674,0.421927,5.66146,6.08339
675,0.314427,3.34453,3.65896
676,0.502032,5.14391,5.64594
677,0.432083,5.68734,6.11943
678,0.329271,6.45568,6.78495
679,0.39026,5.745,6.13526
680,0.318906,4.37625,4.69516
681,0.456927,3.88068,4.3376
682,0.34427,6.00391,6.34818
683,0.402083,5.92599,6.32807
684,0.410938,5.79604,6.20698
685,0.29401,4.34703,4.64104
686,0.420782,7.22521,7.64599
687,0.350573,3.05802,3.40859
688,0.359375,5.65781,6.01719
689,0.41875,5.66651,6.08526
690,0.461198,6.14682,6.60802
691,0.576406,5.67641,6.25281
692,0.319219,3.3075,3.62672
693,0.34599,5.36313,5.70911
694,0.390625,5.76354,6.15417
695,0.355469,5.62443,5.9799
696,0.386927,5.75323,6.14016
697,0.386615,3.38911,3.77573
698,0.272656,5.41151,5.68417
699,0.381718,6.64443,7.02615
700,0.274531,5.48583,5.76037
701,0.419791,6.05625,6.47604
702,0.385,4.39536,4.78036
703,0.751145,5.83531,6.58646
704,0.448489,3.67099,4.11948
705,0.290052,6.11328,6.40333
706,0.39651,5.7951,6.19161
707,0.322656,3.21901,3.54167
708,0.304531,5.07828,5.38281
709,0.951354,5.06807,6.01943
710,0.34276,5.47021,5.81297
711,0.387344,5.99016,6.3775
712,0.356562,4.38068,4.73724
713,0.374583,4.44156,4.81615
714,0.344062,5.7,6.04406
715,0.279427,5.52271,5.80213
