frame,render_index,decode_ms,render_ms,total_ms
107,1,0,2.58672,2.58672
107,2,0,2.2362,2.2362
107,3,0,1.99479,1.99479
108,0,0.861667,3.30339,4.16505
108,1,0,2.86354,2.86354
108,2,0,2.49198,2.49198
108,3,0,2.58422,2.58422
109,0,1.31693,3.27734,4.59427
109,1,0,2.57964,2.57964
109,2,0,2.43495,2.43495
109,3,0,2.41766,2.41766
110,0,1.02948,3.62667,4.65615
110,1,0,2.70688,2.70688
110,2,0,2.34302,2.34302
110,3,0,2.49818,2.49818
111,0,1.37625,3.43849,4.81474
111,1,0,1.84146,1.84146
111,2,0,1.81385,1.81385
111,3,0,1.81818,1.81818
112,0,0.780938,3.69068,4.47161
112,1,0,2.33839,2.33839
112,2,0,1.97349,1.97349
112,3,0,5.2876,5.2876
113,0,1.27599,7.6588,8.93479
113,1,0,2.93802,2.93802
113,2,0,2.33641,2.33641
113,3,0,2.65047,2.65047
114,0,1.1388,3.72979,4.86859
114,1,0,4.67443,4.67443
114,2,0,2.78135,2.78135
114,3,0,2.05953,2.05953
115,0,0.396354,3.32156,3.71792
115,1,0,1.945,1.945
115,2,0,2.71021,2.71021
115,3,0,2.52479,2.52479
116,0,0.374531,3.24094,3.61547
116,1,0,2.21104,2.21104
116,2,0,3.00713,3.00713
116,3,0,1.98385,1.98385
117,0,0.564323,4.32526,4.88958
117,1,0,1.95365,1.95365
117,2,0,1.95156,1.95156
117,3,0,1.85406,1.85406
118,0,0.39625,3.56891,3.96516
118,1,0,2.4476,2.4476
118,2,0,1.85328,1.85328
118,3,0,1.81156,1.81156
119,0,0.353438,3.85062,4.20406
119,1,0,1.99792,1.99792
119,2,0,4.2512,4.2512
119,3,0,1.85948,1.85948
120,0,0.368698,3.35911,3.72781
120,1,0,2.80203,2.80203
120,2,0,2.19177,2.19177
120,3,0,2.47588,2.47588
121,0,0.397604,3.48464,3.88224
121,1,0,4.22011,4.22011
121,2,0,2.16344,2.16344
121,3,0,1.85453,1.85453
122,0,0.370157,5.63849,6.00865
122,1,0,1.91865,1.91865
122,2,0,2.76526,2.76526
122,3,0,2.05469,2.05469
123,0,0.439531,5.26344,5.70297
123,1,0,1.84016,1.84016
123,2,0,1.84625,1.84625
123,3,0,2.66849,2.66849
124,0,0.43026,4.13516,4.56542
124,1,0,3.9026,3.9026
124,2,0,2.10635,2.10635
124,3,0,1.79,1.79
125,0,0.485208,3.62062,4.10583
125,1,0,4.56302,4.56302
125,2,0,1.85391,1.85391
125,3,0,1.85151,1.85151
126,0,0.473125,3.9513,4.42443
126,1,0,2.4199,2.4199
126,2,0,3.91182,3.91182
126,3,0,2.28031,2.28031
127,0,0.577136,4.18995,4.76708
127,1,0,1.8849,1.8849
127,2,0,4.6575,4.6575
127,3,0,1.99354,1.99354
128,0,0.483386,3.73875,4.22214
128,1,0,2,2
128,2,0,4.50432,4.50432
128,3,0,1.89911,1.89911
129,0,0.546875,3.41135,3.95823
129,1,0,2.77635,2.77635
129,2,0,2.50089,2.50089
129,3,0,4.09391,4.09391
130,0,0.517968,3.28547,3.80344
130,1,0,2.58276,2.58276
130,2,0,1.88578,1.88578
130,3,0,2.45818,2.45818
131,0,0.391771,4.81995,5.21172
131,1,0,1.76089,1.76089
131,2,0,2.44667,2.44667
131,3,0,1.7837,1.7837
132,0,0.584062,6.17531,6.75938
132,1,0,1.92865,1.92865
132,2,0,2.13276,2.13276
132,3,0,2.41625,2.41625
133,0,0.37927,3.88271,4.26198
133,1,0,4.20474,4.20474
133,2,0,1.79641,1.79641
133,3,0,2.46625,2.46625
134,0,0.378593,3.90568,4.28427
134,1,0,4.1699,4.1699
134,2,0,1.82505,1.82505
134,3,0,2.12427,2.12427
135,0,0.365,3.22781,3.59281
135,1,0,4.74026,4.74026
135,2,0,2.36469,2.36469
135,3,0,2.06734,2.06734
136,0,0.364114,4.11193,4.47604
136,1,0,2.4751,2.4751
136,2,0,4.27526,4.27526
136,3,0,2.08448,2.08448
137,0,0.363333,3.95682,4.32016
137,1,0,2.67437,2.67437
137,2,0,3.62422,3.62422
137,3,0,1.77609,1.77609
138,0,0.390781,4.00469,4.39547
138,1,0,1.82583,1.82583
138,2,0,2.53505,2.53505
138,3,0,3.84354,3.84354
139,0,0.521562,3.22885,3.75042
139,1,0,2.46682,2.46682
139,2,0,1.81401,1.81401
139,3,0,2.48094,2.48094
