scene,q,tx,ty,mean_z,disp_seed,disp_est,disocc,edge,activity,bits_intra,bits_stereo,bits_stereo_mv,bits_stereo_est,bits_stereo_rec_mv,bits_warp,bits_warp_mv,sad_intra,sad_stereo_mv,sad_warp_mv,mvx_q2,mvy_q2
hand,8,8,12,2.672,11.29,12,0.0000,0.0000,0.08,479.0,455.7,455.7,455.7,455.7,455.7,455.7,559,36,27,-4,0
hand,8,9,12,2.666,11.32,10,0.0000,0.0000,0.07,502.4,455.7,455.7,455.7,455.7,455.7,455.7,1026,35,23,0,0
hand,8,10,12,2.659,11.35,12,0.0000,0.0000,0.07,467.4,455.7,455.7,455.7,455.7,455.7,455.7,386,37,28,4,0
hand,8,11,12,2.653,11.37,12,0.0000,0.0000,0.05,470.3,455.7,455.7,455.7,455.7,455.7,455.7,384,33,22,4,-4
hand,8,12,12,2.647,11.40,12,0.0000,0.0000,0.07,493.6,455.7,455.7,455.7,455.7,455.7,455.7,855,23,35,4,0
hand,8,13,12,2.640,11.43,10,0.0000,0.0000,0.09,476.1,455.7,455.7,455.7,455.7,455.7,455.7,655,27,37,-3,-1
hand,8,14,12,2.634,11.45,12,0.0000,0.0000,0.08,484.9,455.7,455.7,455.7,455.7,455.7,455.7,655,21,31,0,0
hand,8,15,12,2.628,11.48,10,0.0000,0.1797,0.06,496.6,458.6,458.6,458.6,458.6,473.2,473.2,928,81,422,-13,-9
hand,8,0,13,2.209,13.64,14,0.0000,0.0000,0.05,455.7,455.7,455.7,455.7,455.7,455.7,455.7,84,6,18,-4,0
hand,8,1,13,2.204,13.67,12,0.0000,0.0000,0.01,455.7,455.7,455.7,455.7,455.7,455.7,455.7,47,5,7,16,-8
hand,8,2,13,2.200,13.70,14,0.0000,0.0000,0.06,458.6,455.7,455.7,455.7,455.7,455.7,455.7,194,30,26,0,0
hand,8,3,13,2.196,13.72,12,0.0000,0.0000,0.01,455.7,455.7,455.7,455.7,455.7,455.7,455.7,7,0,2,-4,-8
hand,8,4,13,2.191,13.75,0,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,5,13,2.187,13.78,14,0.0000,0.0000,0.05,461.5,455.7,455.7,455.7,455.7,455.7,455.7,218,34,17,-4,-4
hand,8,6,13,2.183,13.80,14,0.0000,0.0000,0.04,455.7,455.7,455.7,455.7,455.7,455.7,455.7,70,37,5,0,-16
hand,8,7,13,2.179,13.83,4,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,8,13,2.174,13.86,14,0.0000,0.0000,0.05,470.3,455.7,455.7,455.7,455.7,455.7,455.7,404,36,28,0,-4
hand,8,9,13,2.170,13.88,14,0.0000,0.0000,0.06,482.0,455.7,455.7,455.7,455.7,455.7,455.7,578,16,22,0,0
hand,8,10,13,2.166,13.91,0,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,11,13,2.162,13.94,12,0.0000,0.0000,0.01,455.7,455.7,455.7,455.7,455.7,455.7,455.7,28,1,2,-8,-4
hand,8,12,13,2.157,13.96,14,0.0000,0.0000,0.07,458.6,455.7,455.7,455.7,455.7,455.7,455.7,235,32,21,-12,-8
hand,8,13,13,2.153,13.99,14,0.0000,0.0000,0.06,458.6,455.7,455.7,455.7,455.7,455.7,455.7,158,15,8,8,4
hand,8,14,13,2.149,14.02,16,0.0000,0.0000,0.02,461.5,455.7,455.7,455.7,455.7,455.7,455.7,122,7,9,16,16
hand,8,15,13,2.145,14.04,12,0.0000,0.2195,0.04,455.7,455.7,455.7,455.7,455.7,467.4,461.5,60,1,161,-16,0
hand,8,0,14,1.858,16.20,16,0.0000,0.0000,0.04,455.7,455.7,455.7,455.7,455.7,455.7,455.7,123,8,14,16,-8
hand,8,1,14,1.854,16.23,14,0.0000,0.0000,0.04,461.5,455.7,455.7,455.7,455.7,455.7,455.7,182,5,11,4,-4
hand,8,2,14,1.851,16.26,4,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,3,14,1.848,16.29,0,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,4,14,1.845,16.31,0,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,5,14,1.842,16.34,16,0.0000,0.0000,0.05,461.5,455.7,455.7,455.7,455.7,455.7,455.7,190,33,17,0,4
hand,8,6,14,1.839,16.37,16,0.0000,0.0000,0.05,461.5,455.7,455.7,455.7,455.7,455.7,455.7,170,24,14,0,-8
hand,8,7,14,1.836,16.39,18,0.0000,0.0000,0.02,458.6,455.7,455.7,455.7,455.7,455.7,455.7,112,5,3,8,-4
hand,8,8,14,1.833,16.42,16,0.0000,0.0000,0.05,476.1,455.7,455.7,455.7,455.7,455.7,455.7,367,40,9,0,4
hand,8,9,14,1.830,16.45,16,0.0000,0.0000,0.04,461.5,455.7,455.7,455.7,455.7,455.7,455.7,185,27,23,4,12
hand,8,10,14,1.827,16.47,16,0.0000,0.0000,0.05,455.7,455.7,455.7,455.7,455.7,455.7,455.7,175,13,17,1,-1
hand,8,11,14,1.824,16.50,6,0.0000,0.0000,0.03,455.7,455.7,455.7,455.7,455.7,455.7,455.7,129,0,17,4,0
hand,8,12,14,1.821,16.53,16,0.0000,0.0000,0.04,455.7,455.7,455.7,455.7,455.7,455.7,455.7,173,3,16,4,0
hand,8,13,14,1.818,16.55,16,0.0000,0.0000,0.02,464.4,455.7,455.7,455.7,455.7,455.7,455.7,193,11,12,0,4
hand,8,14,14,1.815,16.58,16,0.0000,0.0000,0.04,461.5,455.7,455.7,455.7,455.7,455.7,455.7,208,22,25,4,8
hand,8,15,14,1.812,16.61,0,0.0000,0.2600,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,0,15,1.603,18.77,18,0.0000,0.0000,0.04,479.0,455.7,455.7,455.7,455.7,458.6,455.7,474,29,20,0,-4
hand,8,1,15,1.601,18.80,0,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,2,15,1.598,18.82,0,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,3,15,1.596,18.85,20,0.0000,0.0000,0.03,476.1,455.7,455.7,455.7,455.7,455.7,455.7,391,4,7,12,-8
hand,8,4,15,1.594,18.88,18,0.0000,0.0000,0.05,455.7,455.7,455.7,455.7,455.7,455.7,455.7,53,5,17,4,-4
hand,8,5,15,1.592,18.90,18,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,5,0,0,0,-4
hand,8,6,15,1.589,18.93,0,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,7,15,1.587,18.96,18,0.0000,0.0000,0.02,455.7,455.7,455.7,455.7,455.7,455.7,455.7,109,3,11,-8,0
hand,8,8,15,1.585,18.98,18,0.0000,0.0000,0.05,455.7,455.7,455.7,455.7,455.7,455.7,455.7,162,15,11,-8,12
