arm,run,scenario,phase,id,detail_mode,bytes,wire_bytes,encode_ms,raw_fnv
global,2,continuous_pan_source,measured,113,global-v1,66571,69246,7.21734,f742cf7e2e870c52
global,2,continuous_pan_source,measured,114,global-v1,66612,69287,7.48492,3a211f651c2c6fe9
global,2,continuous_pan_source,measured,115,global-v1,66647,69322,7.68616,c00fcdc050f3c73d
global,2,continuous_pan_source,measured,116,global-v1,66330,69005,7.30956,b770bd20e5730045
global,2,continuous_pan_source,measured,117,global-v1,65901,68576,7.21743,5103c37306df0ec6
global,2,continuous_pan_source,measured,118,global-v1,66181,68856,7.28920,87abc823a6071aa3
global,2,continuous_pan_source,measured,119,global-v1,65866,68541,7.31687,18b3c37933e0e666
global,2,continuous_pan_source,measured,120,independent,106463,109138,6.51806,9699386f4ccbbce4
global,2,continuous_pan_source,measured,121,global-v1,65746,68421,7.78320,0f2b2763b4a6c70c
global,2,continuous_pan_source,measured,122,global-v1,65976,68651,7.62075,cc72a0676ed89484
global,2,continuous_pan_source,measured,123,global-v1,65821,68496,8.56752,08b6cd853f8f0ef6
global,2,continuous_pan_source,measured,124,global-v1,65877,68552,7.41897,1d9f2613e564bd13
global,2,continuous_pan_source,measured,125,global-v1,65519,68194,7.23677,1945d4166d577fbd
global,2,continuous_pan_source,measured,126,global-v1,65631,68306,7.55203,b68dab58bf1b0332
global,2,continuous_pan_source,measured,127,global-v1,65452,68127,7.30606,fd87d0e38b28bf3c
global,2,continuous_pan_source,measured,128,independent,105409,108084,6.27967,65aaf509e73b0723
global,2,continuous_pan_source,measured,129,global-v1,65786,68461,7.20804,e6054ffa45837d2c
global,2,photo_scene_cut,measured,106,independent,137549,140224,8.18426,9907604201420eb8
global,2,photo_scene_cut,measured,107,global-v1,116704,119379,7.88648,bb2841026995dce4
global,2,photo_scene_cut,measured,108,global-v1,116402,119077,7.82359,4b25f0c55c95baf5
global,2,photo_scene_cut,measured,109,global-v1,115879,118554,7.81752,501e12b5db1beccb
global,2,photo_scene_cut,measured,110,global-v1,115580,118255,7.85548,510ef6d472eb75e6
global,2,photo_scene_cut,measured,111,global-v1,115322,117997,7.83274,3638496c1e09f35c
global,2,photo_scene_cut,measured,112,independent,135630,138305,6.54367,998ad3ac0acfe1e3
global,2,photo_scene_cut,measured,113,global-v1,114884,117559,8.27142,a166e15f4f15cd60
global,2,photo_scene_cut,measured,114,global-v1,114237,116912,7.71213,76c532524c302baa
global,2,photo_scene_cut,measured,115,global-v1,114031,116706,7.74132,cfdf2aa11e21078a
global,2,photo_scene_cut,measured,116,global-v1,113682,116357,7.86663,6ee2fcad6eca2c8b
global,2,photo_scene_cut,measured,117,global-v1,113646,116321,7.82186,2fea8c576d326550
global,2,photo_scene_cut,measured,118,global-v1,113422,116097,7.86653,03c24d36355ce265
global,2,photo_scene_cut,measured,119,global-v1,112956,115631,7.89917,30a4b62803c6770b
global,2,photo_scene_cut,measured,120,independent,133774,136449,6.46087,d9b0d4392f82b3fe
global,2,photo_scene_cut,measured,121,global-v1,112535,115210,7.88616,cb3d3fbec0e02244
global,2,photo_scene_cut,measured,122,global-v1,112712,115387,8.37687,546a6806559d0905
global,2,photo_scene_cut,measured,123,global-v1,112310,114985,7.88558,4c3d57cfb87b8dd7
global,2,photo_scene_cut,measured,124,global-v1,112097,114772,7.83473,4568d429357d1fd9
global,2,photo_scene_cut,measured,125,global-v1,112346,115021,7.85779,1a64ced8f4164ff1
global,2,photo_scene_cut,measured,126,global-v1,111736,114411,7.85641,6ae4d3344ed2bb22
global,2,photo_scene_cut,measured,127,global-v1,111873,114548,7.81352,fbbd5d4d229fbbb2
global,2,photo_scene_cut,measured,128,independent,132442,135117,6.39626,8f171ea4316d0d31
global,2,photo_scene_cut,measured,129,global-v1,111232,113907,7.96322,b3ca5aabafca62c3
global,2,opposing_no_ack,measured,106,independent,106799,109474,6.24506,ff395193d88bc8c9
global,2,opposing_no_ack,measured,107,independent,106779,109454,6.46690,4f52882856be3545
global,2,opposing_no_ack,measured,108,independent,106015,108690,6.51045,8309a486743f0a90
global,2,opposing_no_ack,measured,109,independent,106615,109290,6.23611,149c45cd25e7b10a
global,2,opposing_no_ack,measured,110,independent,106591,109266,6.48989,16e1934bca8f3cb8
global,2,opposing_no_ack,measured,111,independent,105973,108648,6.46019,66b84d6b8554f57e
global,2,opposing_no_ack,measured,112,independent,105920,108595,6.35141,9a40b907fe014bf8
global,2,opposing_no_ack,measured,113,independent,105691,108366,6.34120,5310cff95a1ba6b0
global,2,opposing_no_ack,measured,114,independent,105299,107974,6.39261,b0f74ef7eaa496e3
global,2,opposing_no_ack,measured,115,independent,105178,107853,7.17789,7edb23c91470d08d
global,2,opposing_no_ack,measured,116,independent,103836,106511,6.27002,f434cf8f782297eb
global,2,opposing_no_ack,measured,117,independent,106302,108977,6.30179,ee71fb6411e8bcba
global,2,opposing_no_ack,measured,118,independent,106906,109581,6.37087,1b566ab8e9a740ef
global,2,opposing_no_ack,measured,119,independent,106966,109641,6.24803,b1a6f8333481ad4a
global,2,opposing_no_ack,measured,120,independent,107509,110184,6.44166,9e4fb7c218b22221
global,2,opposing_no_ack,measured,121,independent,107707,110382,6.72707,e262794690d637f7
global,2,opposing_no_ack,measured,122,independent,107785,110460,6.29813,44899969c1ba8c85
global,2,opposing_no_ack,measured,123,independent,107929,110604,6.72837,9a63ad4415d75d91
global,2,opposing_no_ack,measured,124,independent,107450,110125,6.54613,331e6f37fd61a64e
global,2,opposing_no_ack,measured,125,independent,107890,110565,6.41467,0b7257ed2bf0a600
global,2,opposing_no_ack,measured,126,independent,107981,110656,6.81727,8d3c248a31384b0b
global,2,opposing_no_ack,measured,127,independent,108314,110989,6.26439,e1237500ecff0a97
global,2,opposing_no_ack,measured,128,independent,108037,110712,6.40706,6f8bf78fa41def42
global,2,opposing_no_ack,measured,129,independent,108125,110800,6.63452,4c97bb1969c64238
regional_fallback,1,opposing_source_motion,measured,106,regional-v2,88641,91316,9.07791,ff395193d88bc8c9
regional_fallback,1,opposing_source_motion,measured,107,regional-v2,88648,91323,8.70400,4f52882856be3545
regional_fallback,1,opposing_source_motion,measured,108,global-v1,88163,90838,7.54158,8309a486743f0a90
regional_fallback,1,opposing_source_motion,measured,109,regional-v2,89215,91890,8.69593,149c45cd25e7b10a
regional_fallback,1,opposing_source_motion,measured,110,regional-v2,95451,98126,8.76311,16e1934bca8f3cb8
regional_fallback,1,opposing_source_motion,measured,111,regional-v2,91779,94454,8.69125,66b84d6b8554f57e
regional_fallback,1,opposing_source_motion,measured,112,independent,105920,108595,6.15982,9a40b907fe014bf8
regional_fallback,1,opposing_source_motion,measured,113,regional-v2,93742,96417,8.76237,5310cff95a1ba6b0
regional_fallback,1,opposing_source_motion,measured,114,regional-v2,90955,93630,8.52982,b0f74ef7eaa496e3
regional_fallback,1,opposing_source_motion,measured,115,independent,105178,107853,8.72767,7edb23c91470d08d
regional_fallback,1,opposing_source_motion,measured,116,global-v1,87688,90363,7.42834,f434cf8f782297eb
regional_fallback,1,opposing_source_motion,measured,117,regional-v2,90974,93649,8.67401,ee71fb6411e8bcba
regional_fallback,1,opposing_source_motion,measured,118,regional-v2,82885,85560,8.88871,1b566ab8e9a740ef
regional_fallback,1,opposing_source_motion,measured,119,regional-v2,89134,91809,8.62103,b1a6f8333481ad4a
regional_fallback,1,opposing_source_motion,measured,120,independent,107509,110184,6.22323,9e4fb7c218b22221
regional_fallback,1,opposing_source_motion,measured,121,regional-v2,82505,85180,9.05881,e262794690d637f7
regional_fallback,1,opposing_source_motion,measured,122,regional-v2,85876,88551,9.05256,44899969c1ba8c85
regional_fallback,1,opposing_source_motion,measured,123,regional-v2,85765,88440,8.74011,9a63ad4415d75d91
regional_fallback,1,opposing_source_motion,measured,124,regional-v2,85181,87856,8.59070,331e6f37fd61a64e
regional_fallback,1,opposing_source_motion,measured,125,regional-v2,81750,84425,8.58549,0b7257ed2bf0a600
regional_fallback,1,opposing_source_motion,measured,126,regional-v2,84831,87506,8.61283,8d3c248a31384b0b
regional_fallback,1,opposing_source_motion,measured,127,regional-v2,84947,87622,8.53910,e1237500ecff0a97
regional_fallback,1,opposing_source_motion,measured,128,independent,108037,110712,6.41622,6f8bf78fa41def42
regional_fallback,1,opposing_source_motion,measured,129,global-v1,97161,99836,7.60215,4c97bb1969c64238
