09-07 18:16:45.361 17110 26063 I WiVRn   : [2026-09-07 18:16:45.361] [WiVRn] [info] nxwarp[0]: 98 frames dropped late (queue kept to 1)
09-07 18:16:45.361 17110 26063 I WiVRn   : [2026-09-07 18:16:45.361] [WiVRn] [info] nxwarp[0] stage: gap 0.5 | wait-prev 0.0 | submit 0.7 (qlock 0.0 + codec 0.7) | get_free 0.0 | fence-pre 0.0 | record 0.1 | qsubmit 0.1 | fence-post 9.6 | publish 0.0 ms; withheld 0, stride 1, arrival 11.1 ms
09-07 18:16:45.361 17110 26063 I WiVRn   : [2026-09-07 18:16:45.361] [WiVRn] [info] nxwarp[0] reassembly (network thread): 0.05 ms/frame over 180 frames, buffer 9 kB held for 9 kB of unit (1.0x)
09-07 18:16:45.361 17110 26063 I WiVRn   : [2026-09-07 18:16:45.361] [WiVRn] [info] nxwarp[0] fence-post 9.7 ms = nxvc gpu 9.1 + copy gpu 0.50 + queue 0.1 (over 181 frames with timestamps)
09-07 18:16:46.457 17110 26060 I WiVRn   : [2026-09-07 18:16:46.457] [WiVRn] [info] nxwarp[0] net: 167 frames closed in 2.0 s, 0 with a hole, 0 out-of-order datagrams, 0 frames completed late, 0 queued for the worker, 353 decoded so far, 610 stragglers dropped; last hole 0/0 chunks, first missing -1, short false, chunk 1166 B
09-07 18:16:46.457 17110 26060 I WiVRn   : [2026-09-07 18:16:46.457] [WiVRn] [info] nxwarp[0] net: 0.069 ms per datagram over 4643 datagrams (157.85 ms of every second)
09-07 18:16:46.457 17110 26060 I WiVRn   : [2026-09-07 18:16:46.457] [WiVRn] [info] nxwarp[0] sel: stride 1, arrival 21.2 ms, dropped-late 106, withheld 10, decoded 353
09-07 18:16:46.457 17110 26060 I WiVRn   : [2026-09-07 18:16:46.457] [WiVRn] [info] nxwarp[0] rx: 14458 datagrams, placed 265880 (+96526), late 547 (+0), stale_frame 0, bad_range 0, bad_dir 0, bad_caps 0, bad_ver 0, auth_fail 0, replay 0, frozen 0, dup 0
09-07 18:16:47.361 17110 26063 I WiVRn   : [2026-09-07 18:16:47.361] [WiVRn] [info] nxwarp[0]: 118 frames in 2.0 s: 24966 B/frame, wait-prev 0.0 ms, wall 13.8 ms, nxvc passA 3.1 passB 9.1 gpu 12.2 ms; holes 0, refused 0
09-07 18:16:47.361 17110 26063 I WiVRn   : [2026-09-07 18:16:47.361] [WiVRn] [info] nxwarp[0] gpu duty 722 ms/s (72% of one GPU) for decode alone; the display pass is extra
