variant,run,case,frame_id,mode,reference_id,encode_ms,wire_bytes,detail_bytes,decoded_raw_bytes,decoded_raw_fnv1a64,wire_fnv1a64
candidate,run1,scene_a_motion,218,motion,217,7.6555,68856,66181,722128,87abc823a6071aa3,f141193250b7f752
candidate,run1,scene_a_motion,219,motion,218,7.6986,68541,65866,722128,18b3c37933e0e666,ca77c3c00752695c
candidate,run1,scene_a_motion,220,motion,219,7.7993,68748,66073,722128,9699386f4ccbbce4,7d896153e4db278e
candidate,run1,scene_a_motion,221,motion,220,7.6459,68421,65746,722128,0f2b2763b4a6c70c,59643959f8cf4d81
candidate,run1,scene_a_motion,222,motion,221,7.7624,68651,65976,722128,cc72a0676ed89484,9a8da1d2c7aa099a
candidate,run1,scene_a_motion,223,motion,222,7.7406,68496,65821,722128,08b6cd853f8f0ef6,8b49e9c453bd10bf
candidate,run1,scene_a_motion,224,independent,0,6.7274,108390,105715,722128,1d9f2613e564bd13,921c7012b8e265d9
candidate,run1,scene_a_motion,225,motion,224,7.8496,68194,65519,722128,1945d4166d577fbd,ff8ae78dfb0c90a6
candidate,run1,scene_a_motion,226,motion,225,7.6110,68306,65631,722128,b68dab58bf1b0332,20a4c8a682c7a0d3
candidate,run1,scene_a_motion,227,motion,226,8.2092,68127,65452,722128,fd87d0e38b28bf3c,988e0aaec3eb7ee6
candidate,run1,scene_a_motion,228,motion,227,7.9212,68628,65953,722128,65aaf509e73b0723,e4a703717f0e7a35
candidate,run1,scene_a_motion,229,motion,228,7.8883,68461,65786,722128,e6054ffa45837d2c,db65e35ccfbf3223
candidate,run1,scene_a_zero_ack_fallback,206,independent,0,4.0246,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
