case,regions,run,variant,phase,frame,mode,body_version,wire_bytes,detail_bytes,encode_ms,raw_fnv64,oracle_match
forest-pan,regional,2,candidate,measure-08,measure,global,3,77713,75038,9.55603,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-09,measure,global,3,77713,75038,9.09628,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-10,measure,global,3,77713,75038,9.30462,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-11,measure,global,3,77713,75038,9.33649,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-12,measure,global,3,77713,75038,9.47796,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-13,measure,global,3,77713,75038,9.01504,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-14,measure,global,3,77713,75038,8.98708,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-15,measure,global,3,77713,75038,9.16292,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-16,measure,global,3,77713,75038,9.11098,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-17,measure,global,3,77713,75038,9.34371,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-18,measure,global,3,77713,75038,9.34973,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-19,measure,global,3,77713,75038,9.17367,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-20,measure,global,3,77713,75038,9.44279,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-21,measure,global,3,77713,75038,9.70480,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-22,measure,global,3,77713,75038,9.47631,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-23,measure,global,3,77713,75038,9.55281,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-24,measure,global,3,77713,75038,9.36684,8030ea57249b6c82,1
forest-pan,regional,3,baseline,control,anchor,independent,2,101724,99049,7.57735,743740e50850356b,1
forest-pan,regional,3,baseline,control,no-ack,independent,2,102116,99441,6.99868,8030ea57249b6c82,1
forest-pan,regional,3,baseline,control,ack-pair,global,2,84055,81380,8.64327,8030ea57249b6c82,1
forest-pan,regional,3,baseline,control,forgot-ref,independent,2,102116,99441,6.49592,8030ea57249b6c82,1
forest-pan,regional,3,baseline,control,anchor-id8,independent,2,102116,99441,6.17732,8030ea57249b6c82,1
forest-pan,regional,3,baseline,control,post-reset,independent,2,102116,99441,6.44515,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-01,measure,global,2,84055,81380,7.21861,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-02,measure,global,2,84055,81380,7.18282,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-03,measure,global,2,84055,81380,7.17823,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-04,measure,global,2,84055,81380,7.58927,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-05,measure,global,2,84055,81380,7.11612,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-06,measure,global,2,84055,81380,7.18774,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-07,measure,global,2,84055,81380,7.36094,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-08,measure,global,2,84055,81380,7.18279,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-09,measure,global,2,84055,81380,7.26778,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-10,measure,global,2,84055,81380,7.20356,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-11,measure,global,2,84055,81380,7.64549,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-12,measure,global,2,84055,81380,7.38283,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-13,measure,global,2,84055,81380,7.35096,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-14,measure,global,2,84055,81380,7.58228,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-15,measure,global,2,84055,81380,7.30870,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-16,measure,global,2,84055,81380,7.30172,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-17,measure,global,2,84055,81380,7.19871,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-18,measure,global,2,84055,81380,7.14856,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-19,measure,global,2,84055,81380,7.33846,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-20,measure,global,2,84055,81380,7.60985,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-21,measure,global,2,84055,81380,7.16572,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-22,measure,global,2,84055,81380,7.61682,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-23,measure,global,2,84055,81380,7.51408,8030ea57249b6c82,1
forest-pan,regional,3,baseline,measure-24,measure,global,2,84055,81380,7.31170,8030ea57249b6c82,1
dark-pan,global,0,baseline,control,anchor,independent,2,138065,135390,7.82258,034c0f430ec2a48c,1
dark-pan,global,0,baseline,control,no-ack,independent,2,136996,134321,7.07184,e83afd1ce36ce231,1
dark-pan,global,0,baseline,control,ack-pair,global,2,89456,86781,8.43508,e83afd1ce36ce231,1
dark-pan,global,0,baseline,control,forgot-ref,independent,2,136996,134321,6.85069,e83afd1ce36ce231,1
dark-pan,global,0,baseline,control,anchor-id8,independent,2,136996,134321,6.78982,e83afd1ce36ce231,1
dark-pan,global,0,baseline,control,post-reset,independent,2,136996,134321,6.96317,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-01,measure,global,2,89456,86781,8.28121,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-02,measure,global,2,89456,86781,8.23321,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-03,measure,global,2,89456,86781,8.22859,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-04,measure,global,2,89456,86781,8.01191,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-05,measure,global,2,89456,86781,8.11062,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-06,measure,global,2,89456,86781,7.78415,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-07,measure,global,2,89456,86781,8.56523,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-08,measure,global,2,89456,86781,8.20557,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-09,measure,global,2,89456,86781,8.57059,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-10,measure,global,2,89456,86781,8.27626,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-11,measure,global,2,89456,86781,8.07329,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-12,measure,global,2,89456,86781,7.85213,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-13,measure,global,2,89456,86781,8.57319,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-14,measure,global,2,89456,86781,8.22958,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-15,measure,global,2,89456,86781,8.15335,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-16,measure,global,2,89456,86781,8.03511,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-17,measure,global,2,89456,86781,8.04010,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-18,measure,global,2,89456,86781,8.84081,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-19,measure,global,2,89456,86781,8.55282,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-20,measure,global,2,89456,86781,8.35704,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-21,measure,global,2,89456,86781,8.20496,e83afd1ce36ce231,1
dark-pan,global,0,baseline,measure-22,measure,global,2,89456,86781,8.48726,e83afd1ce36ce231,1
